d_month,d_year,d_row,d_organ,d_sum
12,2014,7,"191110",169
12,2014,7,"191118",26
12,2014,7,"191132",35
12,2014,7,"191134",41
12,2014,7,"191136",18
12,2014,7,"191138",26
12,2014,7,"191140",7
12,2014,7,"191145",7
12,2014,7,"191146",32
12,2014,7,"191148",16
12,2014,7,"191152",11
12,2014,7,"191154",3
12,2014,7,"191156",59
12,2014,7,"191160",10
12,2014,7,"191164",5
12,2014,7,"191166",77
12,2014,7,"191168",19
12,2014,7,"191170",81
12,2014,7,"191510",565
12,2014,7,"191532",27
12,2014,7,"191534",21
12,2014,7,"191536",10
12,2014,7,"191540",7
12,2014,7,"191542",19
12,2014,7,"191546",28
12,2014,7,"191548",35
12,2014,7,"191552",4
12,2014,7,"191556",31
12,2014,7,"191560",45
12,2014,7,"191564",42
12,2014,7,"191568",12
12,2014,7,"191910",182
12,2014,7,"191916",83
12,2014,7,"191926",10
12,2014,7,"191932",30
12,2014,7,"191934",56
12,2014,7,"191936",22
12,2014,7,"191940",270
12,2014,7,"191942",142
12,2014,7,"191946",35
12,2014,7,"191948",47
12,2014,7,"191950",14
12,2014,7,"191952",333
12,2014,7,"191956",94
12,2014,7,"191958",25
12,2014,7,"191960",21
12,2014,7,"191962",188
12,2014,7,"191964",45
12,2014,7,"191966",20
12,2014,7,"191968",217
12,2014,7,"192310",256
12,2014,7,"192336",69
12,2014,7,"192340",22
12,2014,7,"192342",11
12,2014,7,"192346",18
12,2014,7,"192348",14
12,2014,7,"192352",15
12,2014,7,"192356",31
12,2014,7,"192710",237
12,2014,7,"192732",32
12,2014,7,"192736",20
12,2014,7,"192740",4
12,2014,7,"192742",2
12,2014,7,"192744",27
12,2014,7,"192748",9
12,2014,7,"192750",3
12,2014,7,"192754",3
12,2014,7,"192758",15
12,2014,7,"192760",8
12,2014,7,"192762",34
12,2014,7,"192766",10
12,2014,7,"193110",177
12,2014,7,"193111",299
12,2014,7,"193112",87
12,2014,7,"193136",99
12,2014,7,"193140",74
12,2014,7,"193142",44
12,2014,7,"193148",166
12,2014,7,"193150",70
12,2014,7,"193154",82
12,2014,7,"193156",32
12,2014,7,"193160",22
12,2014,7,"193162",26
12,2014,7,"193166",115
12,2014,7,"193510",149
12,2014,7,"193511",132
12,2014,7,"193516",49
12,2014,7,"193518",36
12,2014,7,"193520",7
12,2014,7,"193521",6
12,2014,7,"193522",23
12,2014,7,"193523",34
12,2014,7,"193524",72
12,2014,7,"193528",27
12,2014,7,"193532",43
12,2014,7,"193536",29
12,2014,7,"193540",66
12,2014,7,"193544",27
12,2014,7,"193548",34
12,2014,7,"193552",10
12,2014,7,"193556",30
12,2014,7,"193560",6
12,2014,7,"193564",42
12,2014,7,"193570",105
12,2014,7,"193910",302
12,2014,7,"193916",22
12,2014,7,"193920",36
12,2014,7,"193924",85
12,2014,7,"193932",9
