d_month,d_year,d_row,d_organ,d_sum
2,2015,7,"19",2370.000
2,2015,7,"1911",36.000
2,2015,7,"191110",15.000
2,2015,7,"191132",2.000
2,2015,7,"191134",2.000
2,2015,7,"191138",5.000
2,2015,7,"191140",1.000
2,2015,7,"191148",1.000
2,2015,7,"191152",1.000
2,2015,7,"191156",5.000
2,2015,7,"191160",1.000
2,2015,7,"191166",1.000
2,2015,7,"191168",1.000
2,2015,7,"191170",1.000
2,2015,7,"1915",76.000
2,2015,7,"191510",46.000
2,2015,7,"191532",5.000
2,2015,7,"191534",1.000
2,2015,7,"191540",3.000
2,2015,7,"191542",4.000
2,2015,7,"191546",2.000
2,2015,7,"191548",5.000
2,2015,7,"191556",3.000
2,2015,7,"191560",5.000
2,2015,7,"191564",2.000
2,2015,7,"1919",247.000
2,2015,7,"191910",26.000
2,2015,7,"191916",7.000
2,2015,7,"191926",1.000
2,2015,7,"191932",4.000
2,2015,7,"191934",2.000
2,2015,7,"191936",4.000
2,2015,7,"191940",47.000
2,2015,7,"191942",15.000
2,2015,7,"191946",3.000
2,2015,7,"191948",6.000
2,2015,7,"191952",46.000
2,2015,7,"191956",17.000
2,2015,7,"191958",3.000
2,2015,7,"191960",2.000
2,2015,7,"191962",27.000
2,2015,7,"191964",4.000
2,2015,7,"191966",5.000
2,2015,7,"191968",28.000
2,2015,7,"1923",48.000
2,2015,7,"192310",25.000
2,2015,7,"192336",7.000
2,2015,7,"192340",5.000
2,2015,7,"192342",4.000
2,2015,7,"192346",2.000
2,2015,7,"192356",5.000
2,2015,7,"1927",61.000
2,2015,7,"192710",36.000
2,2015,7,"192732",4.000
2,2015,7,"192736",4.000
2,2015,7,"192744",8.000
2,2015,7,"192750",1.000
2,2015,7,"192754",2.000
2,2015,7,"192758",3.000
2,2015,7,"192760",1.000
2,2015,7,"192762",1.000
2,2015,7,"192766",1.000
2,2015,7,"1931",153.000
2,2015,7,"193110",17.000
2,2015,7,"193111",38.000
2,2015,7,"193112",11.000
2,2015,7,"193136",7.000
2,2015,7,"193140",7.000
2,2015,7,"193142",7.000
2,2015,7,"193148",23.000
2,2015,7,"193150",12.000
2,2015,7,"193154",6.000
2,2015,7,"193156",6.000
2,2015,7,"193160",3.000
2,2015,7,"193162",4.000
2,2015,7,"193166",12.000
2,2015,7,"1935",87.000
2,2015,7,"193510",5.000
2,2015,7,"193511",16.000
2,2015,7,"193516",3.000
2,2015,7,"193518",5.000
2,2015,7,"193522",4.000
2,2015,7,"193523",3.000
2,2015,7,"193524",8.000
2,2015,7,"193528",4.000
2,2015,7,"193532",6.000
2,2015,7,"193536",5.000
2,2015,7,"193540",4.000
2,2015,7,"193544",2.000
2,2015,7,"193548",5.000
2,2015,7,"193552",2.000
2,2015,7,"193556",5.000
2,2015,7,"193564",4.000
2,2015,7,"193570",6.000
2,2015,7,"1939",73.000
2,2015,7,"193910",39.000
2,2015,7,"193916",7.000
2,2015,7,"193920",3.000
2,2015,7,"193924",7.000
2,2015,7,"193932",1.000
2,2015,7,"193936",3.000
2,2015,7,"193940",1.000
2,2015,7,"193942",1.000
2,2015,7,"193954",5.000
2,2015,7,"193956",1.000
2,2015,7,"193962",3.000
2,2015,7,"193964",2.000
2,2015,7,"1943",42.000
2,2015,7,"194310",16.000
2,2015,7,"194332",8.000
2,2015,7,"194336",4.000
2,2015,7,"194340",1.000
2,2015,7,"194344",6.000
2,2015,7,"194346",2.000
2,2015,7,"194348",4.000
2,2015,7,"194352",1.000
2,2015,7,"1947",59.000
2,2015,7,"194710",7.000
2,2015,7,"194718",22.000
2,2015,7,"194736",2.000
2,2015,7,"194742",4.000
