d_month,d_year,d_row,d_organ,d_sum
3,2015,1,1900,962430
3,2015,2,1900,938546
3,2015,3,1900,6859
3,2015,4,1900,931717
3,2015,5,1900,12222877158.40
3,2015,6,1900,4462430168.60
3,2015,1,1911,46604
3,2015,2,1911,45598
3,2015,3,1911,248
3,2015,4,1911,45349
3,2015,5,1911,406308357
3,2015,6,1911,130910582
3,2015,1,191110,7616
3,2015,2,191110,7036
3,2015,3,191110,20
3,2015,4,191110,7016
3,2015,5,191110,73372751
3,2015,6,191110,21843920
3,2015,1,191118,4036
3,2015,2,191118,4011
3,2015,3,191118,12
3,2015,4,191118,3999
3,2015,5,191118,27346358
3,2015,6,191118,15929333
3,2015,1,191132,381
3,2015,2,191132,413
3,2015,3,191132,15
3,2015,4,191132,398
3,2015,5,191132,2369407
3,2015,6,191132,1187739
3,2015,1,191134,469
3,2015,2,191134,484
3,2015,3,191134,4
3,2015,4,191134,480
3,2015,5,191134,1905694
3,2015,6,191134,886946
3,2015,1,191136,619
3,2015,2,191136,632
3,2015,3,191136,3
3,2015,4,191136,629
3,2015,5,191136,3084697
3,2015,6,191136,1528836
3,2015,1,191138,709
3,2015,2,191138,825
3,2015,3,191138,20
3,2015,4,191138,805
3,2015,5,191138,5796547
3,2015,6,191138,1757231
3,2015,1,191140,846
3,2015,2,191140,891
3,2015,3,191140,39
3,2015,4,191140,852
3,2015,5,191140,4327141
3,2015,6,191140,2142272
3,2015,1,191144,153
3,2015,2,191144,183
3,2015,3,191144,5
3,2015,4,191144,178
3,2015,5,191144,1822449
3,2015,6,191144,1229831
3,2015,1,191145,491
3,2015,2,191145,521
3,2015,3,191145,6
3,2015,4,191145,515
3,2015,5,191145,4754818
3,2015,6,191145,1353706
3,2015,1,191146,639
3,2015,2,191146,669
3,2015,3,191146,5
3,2015,4,191146,664
3,2015,5,191146,4910380
3,2015,6,191146,3041228
3,2015,1,191148,539
3,2015,2,191148,580
3,2015,3,191148,15
3,2015,4,191148,565
3,2015,5,191148,2864981
3,2015,6,191148,1146587
3,2015,1,191152,867
3,2015,2,191152,881
3,2015,3,191152,12
3,2015,4,191152,868
3,2015,5,191152,5190858
3,2015,6,191152,2454707
3,2015,1,191154,605
3,2015,2,191154,594
3,2015,3,191154,12
3,2015,4,191154,582
3,2015,5,191154,3630336
3,2015,6,191154,1192189
3,2015,1,191156,1267
3,2015,2,191156,1238
3,2015,3,191156,11
3,2015,4,191156,1227
3,2015,5,191156,7289614
3,2015,6,191156,4078385
3,2015,1,191160,126
3,2015,2,191160,137
3,2015,3,191160,2
3,2015,4,191160,135
3,2015,5,191160,897846
3,2015,6,191160,334958
3,2015,1,191164,572
3,2015,2,191164,584
3,2015,3,191164,13
3,2015,4,191164,571
3,2015,5,191164,7383046
3,2015,6,191164,2325877
3,2015,1,191166,1505
3,2015,2,191166,1534
3,2015,3,191166,14
3,2015,4,191166,1520
3,2015,5,191166,10448036
3,2015,6,191166,4563508
3,2015,1,191168,508
3,2015,2,191168,550
3,2015,3,191168,12
3,2015,4,191168,538
3,2015,5,191168,3463641
3,2015,6,191168,1738214
3,2015,1,191170,1247
3,2015,2,191170,1317
3,2015,3,191170,18
3,2015,4,191170,1299
3,2015,5,191170,8290644
3,2015,6,191170,4105167
3,2015,1,1915,47858
3,2015,2,1915,48360
3,2015,3,1915,399
3,2015,4,1915,47961
3,2015,5,1915,591085082
3,2015,6,1915,254420180
3,2015,1,191510,1749
3,2015,2,191510,2415
3,2015,3,191510,48
3,2015,4,191510,2367
3,2015,5,191510,51426790
3,2015,6,191510,27665881
3,2015,1,191532,988
3,2015,2,191532,1005
3,2015,3,191532,18
3,2015,4,191532,987
3,2015,5,191532,7515389
3,2015,6,191532,2229955
3,2015,1,191534,763
3,2015,2,191534,781
3,2015,3,191534,10
3,2015,4,191534,771
3,2015,5,191534,4476819
3,2015,6,191534,3672031
3,2015,1,191536,564
3,2015,2,191536,570
3,2015,3,191536,16
3,2015,4,191536,554
3,2015,5,191536,3821563
3,2015,6,191536,2385604
3,2015,1,191540,552
3,2015,2,191540,559
3,2015,3,191540,8
3,2015,4,191540,551
