d_month,d_year,d_row,d_organ,d_sum
6,2015,1,1900,2116491
6,2015,2,1900,1931330
6,2015,3,1900,19634
6,2015,4,1900,1910229
6,2015,5,1900,28410328811.52
6,2015,6,1900,10740448512.60
6,2015,1,1911,104532
6,2015,2,1911,98034
6,2015,3,1911,1081
6,2015,4,1911,96856
6,2015,5,1911,903482627
6,2015,6,1911,366433201.50
6,2015,1,191110,17959
6,2015,2,191110,16155
6,2015,3,191110,168
6,2015,4,191110,15942
6,2015,5,191110,155913129
6,2015,6,191110,82233379
6,2015,1,191118,8388
6,2015,2,191118,7982
6,2015,3,191118,40
6,2015,4,191118,7940
6,2015,5,191118,55438077
6,2015,6,191118,28630786
6,2015,1,191132,1401
6,2015,2,191132,1262
6,2015,3,191132,116
6,2015,4,191132,1145
6,2015,5,191132,6313311
6,2015,6,191132,3321622
6,2015,1,191134,1372
6,2015,2,191134,1298
6,2015,3,191134,20
6,2015,4,191134,1275
6,2015,5,191134,6579629
6,2015,6,191134,3363547
6,2015,1,191136,1452
6,2015,2,191136,1277
6,2015,3,191136,21
6,2015,4,191136,1250
6,2015,5,191136,6217257
6,2015,6,191136,4608864
6,2015,1,191138,1710
6,2015,2,191138,1658
6,2015,3,191138,74
6,2015,4,191138,1582
6,2015,5,191138,24463200
6,2015,6,191138,5408070
6,2015,1,191140,1909
6,2015,2,191140,1817
6,2015,3,191140,103
6,2015,4,191140,1710
6,2015,5,191140,11236367
6,2015,6,191140,5446701
6,2015,1,191144,466
6,2015,2,191144,438
6,2015,3,191144,25
6,2015,4,191144,411
6,2015,5,191144,2853089
6,2015,6,191144,2371463
6,2015,1,191145,655
6,2015,2,191145,624
6,2015,3,191145,21
6,2015,4,191145,603
6,2015,5,191145,4425415
6,2015,6,191145,1350733
6,2015,1,191146,1552
6,2015,2,191146,1392
6,2015,3,191146,17
6,2015,4,191146,1373
6,2015,5,191146,96715944
6,2015,6,191146,5672943
6,2015,1,191148,1688
6,2015,2,191148,1537
6,2015,3,191148,28
6,2015,4,191148,1507
6,2015,5,191148,9273503
6,2015,6,191148,3942198
6,2015,1,191152,2036
6,2015,2,191152,1929
6,2015,3,191152,26
6,2015,4,191152,1901
6,2015,5,191152,12093852
6,2015,6,191152,8561928
6,2015,1,191154,1557
6,2015,2,191154,1402
6,2015,3,191154,23
6,2015,4,191154,1376
6,2015,5,191154,9748314
6,2015,6,191154,5412455
6,2015,1,191156,2785
6,2015,2,191156,2544
6,2015,3,191156,35
6,2015,4,191156,2503
6,2015,5,191156,18177672
6,2015,6,191156,8512400
6,2015,1,191160,428
6,2015,2,191160,401
6,2015,3,191160,4
6,2015,4,191160,396
6,2015,5,191160,2222237
6,2015,6,191160,1342557
6,2015,1,191164,1343
6,2015,2,191164,1205
6,2015,3,191164,29
6,2015,4,191164,1172
6,2015,5,191164,10791719
6,2015,6,191164,7612183
6,2015,1,191166,3481
6,2015,2,191166,3203
6,2015,3,191166,107
6,2015,4,191166,3094
6,2015,5,191166,17311675
6,2015,6,191166,8184266
6,2015,1,191168,1515
6,2015,2,191168,1325
6,2015,3,191168,25
6,2015,4,191168,1295
6,2015,5,191168,8117441
6,2015,6,191168,3834672
6,2015,1,191170,2615
6,2015,2,191170,2513
6,2015,3,191170,51
6,2015,4,191170,2455
6,2015,5,191170,19347899
6,2015,6,191170,9859433
6,2015,1,1915,97776
6,2015,2,1915,90828
6,2015,3,1915,835
6,2015,4,1915,89890
6,2015,5,1915,1270675869
6,2015,6,1915,720324139
6,2015,1,191510,5841
6,2015,2,191510,5494
6,2015,3,191510,108
6,2015,4,191510,5380
6,2015,5,191510,246765123
6,2015,6,191510,111034076
6,2015,1,191532,2221
6,2015,2,191532,2053
6,2015,3,191532,42
6,2015,4,191532,2003
6,2015,5,191532,17457261
6,2015,6,191532,6670541
6,2015,1,191534,1271
6,2015,2,191534,1185
6,2015,3,191534,14
6,2015,4,191534,1171
6,2015,5,191534,8060997
6,2015,6,191534,5756860
6,2015,1,191536,1121
6,2015,2,191536,1019
6,2015,3,191536,31
6,2015,4,191536,988
6,2015,5,191536,6187756
6,2015,6,191536,4971356
6,2015,1,191540,1236
6,2015,2,191540,1127
6,2015,3,191540,17
6,2015,4,191540,1110
6,2015,5,191540,8145105
6,2015,6,191540,4569204
6,2015,1,191542,1535
6,2015,2,191542,1365
6,2015,3,191542,33
6,2015,4,191542,1330
6,2015,5,191542,9244006
6,2015,6,191542,4112591
6,2015,1,191546,1195
6,2015,2,191546,1095
6,2015,3,191546,28
6,2015,4,191546,1067
6,2015,5,191546,9167367
6,2015,6,191546,5787883
6,2015,1,191548,4067
6,2015,2,191548,3720
6,2015,3,191548,52
6,2015,4,191548,3665
6,2015,5,191548,27675015
6,2015,6,191548,17925198
6,2015,1,191552,802
6,2015,2,191552,739
6,2015,3,191552,13
6,2015,4,191552,726
6,2015,5,191552,4298958
6,2015,6,191552,2478491
6,2015,1,191556,1793
6,2015,2,191556,1718
6,2015,3,191556,33
