d_month,d_year,d_row,d_organ,d_sum
12,2015,1,19,717468
12,2015,1,1971,51385
12,2015,1,1975,95397
12,2015,1,1911,32703
12,2015,1,1915,29462
12,2015,1,1919,43054
12,2015,1,1923,20265
12,2015,1,1963,63374
12,2015,1,1931,32231
12,2015,1,1927,28885
12,2015,1,1935,78043
12,2015,1,1939,53421
12,2015,1,1943,23828
12,2015,1,1947,18869
12,2015,1,1955,49774
12,2015,1,1959,22820
12,2015,1,1951,71681
12,2015,1,1972,2273
12,2015,1,1111,3
12,2015,2,19,663605
12,2015,2,1971,45684
12,2015,2,1975,85501
12,2015,2,1911,29591
12,2015,2,1915,27616
12,2015,2,1919,37788
12,2015,2,1923,19375
12,2015,2,1963,60103
12,2015,2,1931,31081
12,2015,2,1927,27055
12,2015,2,1935,70201
12,2015,2,1939,51521
12,2015,2,1943,22747
12,2015,2,1947,18158
12,2015,2,1955,47211
12,2015,2,1959,21521
12,2015,2,1951,66286
12,2015,2,1972,2163
12,2015,2,1111,3
12,2015,3,19,395161
12,2015,3,1971,31356
12,2015,3,1975,56747
12,2015,3,1911,17014
12,2015,3,1915,15991
12,2015,3,1919,21585
12,2015,3,1923,11830
12,2015,3,1963,40247
12,2015,3,1931,20463
12,2015,3,1927,17233
12,2015,3,1935,41150
12,2015,3,1939,23980
12,2015,3,1943,16483
12,2015,3,1947,9850
12,2015,3,1955,21689
12,2015,3,1959,13434
12,2015,3,1951,34344
12,2015,3,1972,1765
12,2015,3,1111,0
12,2015,4,19,357549
12,2015,4,1971,27409
12,2015,4,1975,51612
12,2015,4,1911,15108
12,2015,4,1915,14087
12,2015,4,1919,20368
12,2015,4,1923,9649
12,2015,4,1963,37465
12,2015,4,1931,18600
12,2015,4,1927,15927
12,2015,4,1935,36948
12,2015,4,1939,21816
12,2015,4,1943,14959
12,2015,4,1947,8769
12,2015,4,1955,19828
12,2015,4,1959,12337
12,2015,4,1951,31515
12,2015,4,1972,1152
12,2015,4,1111,0
12,2015,5,19,37806
12,2015,5,1971,3952
12,2015,5,1975,5177
12,2015,5,1911,1909
12,2015,5,1915,1905
12,2015,5,1919,1243
12,2015,5,1923,2183
12,2015,5,1963,2783
12,2015,5,1931,1864
12,2015,5,1927,1306
12,2015,5,1935,4220
12,2015,5,1939,2240
12,2015,5,1943,1527
12,2015,5,1947,1082
12,2015,5,1955,1866
12,2015,5,1959,1104
12,2015,5,1951,2831
12,2015,5,1972,614
12,2015,5,1111,0
12,2016,1,19,798140
12,2016,1,1971,60976
12,2016,1,1975,128969
12,2016,1,1911,35491
12,2016,1,1915,31903
12,2016,1,1919,41653
12,2016,1,1923,18056
12,2016,1,1963,67445
12,2016,1,1931,33155
12,2016,1,1927,28045
12,2016,1,1935,81279
12,2016,1,1939,55448
12,2016,1,1943,24535
12,2016,1,1947,21476
12,2016,1,1955,55332
12,2016,1,1959,24416
12,2016,1,1951,88022
12,2016,1,1972,1921
12,2016,1,1111,18
12,2016,2,19,486330
12,2016,2,1971,44078
12,2016,2,1975,87439
12,2016,2,1911,20255
12,2016,2,1915,21431
12,2016,2,1919,28686
12,2016,2,1923,12872
12,2016,2,1963,50412
12,2016,2,1931,20234
12,2016,2,1927,20150
12,2016,2,1935,45134
12,2016,2,1939,28881
12,2016,2,1943,18138
12,2016,2,1947,12916
12,2016,2,1955,23970
12,2016,2,1959,17045
12,2016,2,1951,33045
12,2016,2,1972,1639
12,2016,2,1111,5
12,2016,3,19,397646
12,2016,3,1971,36464
12,2016,3,1975,78667
12,2016,3,1911,16008
12,2016,3,1915,16128
12,2016,3,1919,22787
12,2016,3,1923,9953
12,2016,3,1963,38816
12,2016,3,1931,16489
12,2016,3,1927,16599
12,2016,3,1935,39600
