d_month,d_year,d_row,d_organ,d_sum
2,2015,1,191110,1056
2,2015,1,191118,284
2,2015,1,191132,73
2,2015,1,191134,76
2,2015,1,191136,49
2,2015,1,191138,132
2,2015,1,191140,58
2,2015,1,191144,21
2,2015,1,191145,28
2,2015,1,191146,74
2,2015,1,191148,82
2,2015,1,191152,39
2,2015,1,191154,53
2,2015,1,191156,73
2,2015,1,191160,19
2,2015,1,191164,47
2,2015,1,191166,252
2,2015,1,191168,58
2,2015,1,191170,283
2,2015,1,191510,2719
2,2015,1,191532,58
2,2015,1,191534,33
2,2015,1,191536,21
2,2015,1,191540,64
2,2015,1,191542,36
2,2015,1,191546,56
2,2015,1,191548,111
2,2015,1,191552,15
2,2015,1,191556,63
2,2015,1,191560,145
2,2015,1,191564,97
2,2015,1,191568,20
2,2015,1,191910,909
2,2015,1,191916,288
2,2015,1,191926,72
2,2015,1,191932,87
2,2015,1,191934,103
2,2015,1,191936,53
2,2015,1,191940,475
2,2015,1,191942,181
2,2015,1,191946,78
2,2015,1,191948,88
2,2015,1,191950,92
2,2015,1,191952,882
2,2015,1,191956,167
2,2015,1,191958,54
2,2015,1,191960,71
2,2015,1,191962,707
2,2015,1,191964,83
2,2015,1,191966,85
2,2015,1,191968,1058
2,2015,1,192310,1494
2,2015,1,192336,172
2,2015,1,192340,51
2,2015,1,192342,27
2,2015,1,192346,82
2,2015,1,192348,23
2,2015,1,192352,51
2,2015,1,192356,37
2,2015,1,192710,1719
2,2015,1,192732,68
2,2015,1,192736,163
2,2015,1,192740,32
2,2015,1,192742,38
2,2015,1,192744,142
2,2015,1,192748,50
2,2015,1,192750,20
2,2015,1,192754,54
2,2015,1,192758,29
2,2015,1,192760,33
2,2015,1,192762,48
2,2015,1,192766,23
2,2015,1,193110,1097
2,2015,1,193111,1020
2,2015,1,193112,608
2,2015,1,193136,137
2,2015,1,193140,195
2,2015,1,193142,105
2,2015,1,193148,343
2,2015,1,193150,188
2,2015,1,193154,253
2,2015,1,193156,45
2,2015,1,193160,54
2,2015,1,193162,70
2,2015,1,193166,251
2,2015,1,193167,4
2,2015,1,193510,306
2,2015,1,193511,1834
2,2015,1,193516,265
2,2015,1,193518,509
2,2015,1,193520,37
2,2015,1,193521,17
2,2015,1,193522,188
2,2015,1,193523,440
2,2015,1,193524,963
2,2015,1,193528,225
2,2015,1,193532,328
2,2015,1,193536,37
2,2015,1,193540,128
2,2015,1,193544,40
2,2015,1,193548,83
2,2015,1,193552,79
2,2015,1,193556,75
2,2015,1,193560,16
2,2015,1,193564,28
2,2015,1,193570,1072
2,2015,1,193910,1063
2,2015,1,193911,1104
2,2015,1,193912,822
2,2015,1,193916,160
2,2015,1,193920,223
2,2015,1,193924,947
2,2015,1,193932,52
2,2015,1,193934,26
2,2015,1,193936,145
2,2015,1,193940,132
2,2015,1,193942,22
2,2015,1,193944,209
2,2015,1,193948,40
2,2015,1,193950,141
2,2015,1,193952,89
2,2015,1,193954,449
2,2015,1,193956,59
2,2015,1,193958,29
2,2015,1,193962,104
2,2015,1,193964,107
2,2015,1,193966,75
2,2015,1,193968,87
2,2015,1,194310,1515
2,2015,1,194319,2
2,2015,1,194332,87
2,2015,1,194336,79
2,2015,1,194340,151
2,2015,1,194344,156
2,2015,1,194346,106
2,2015,1,194348,86
2,2015,1,194352,163
2,2015,1,194710,757
2,2015,1,194718,341
2,2015,1,194736,69
2,2015,1,194742,57
2,2015,1,194746,50
2,2015,1,194750,147
2,2015,1,194752,27
2,2015,1,195110,904
2,2015,1,195111,1173
2,2015,1,195112,1297
2,2015,1,195113,461
2,2015,1,195116,100
2,2015,1,195120,168
2,2015,1,195126,475
2,2015,1,195136,43
2,2015,1,195140,113
2,2015,1,195144,354
2,2015,1,195146,153
2,2015,1,195148,96
2,2015,1,195152,263
2,2015,1,195154,430
2,2015,1,195156,60
2,2015,1,195158,143
2,2015,1,195160,112
2,2015,1,195164,84
2,2015,1,195510,1211
2,2015,1,195511,865
2,2015,1,195516,177
2,2015,1,195522,671
2,2015,1,195532,23
2,2015,1,195536,40
2,2015,1,195542,47
2,2015,1,195546,51
2,2015,1,195548,52
2,2015,1,195552,39
2,2015,1,195556,18
2,2015,1,195560,49
2,2015,1,195564,39
2,2015,1,195568,67
2,2015,1,195910,830
2,2015,1,195911,346
2,2015,1,195912,451
2,2015,1,195932,66
2,2015,1,195934,46
2,2015,1,195936,100
2,2015,1,195942,49
2,2015,1,195946,48
2,2015,1,195950,133
2,2015,1,195952,63
2,2015,1,195956,47
2,2015,1,195958,73
2,2015,1,195960,106
2,2015,1,195962,46
2,2015,1,195964,50
2,2015,1,195966,105
2,2015,1,196310,1004
2,2015,1,196311,1226
2,2015,1,196312,223
2,2015,1,196318,5
2,2015,1,196322,23
2,2015,1,196324,227
2,2015,1,196328,150
2,2015,1,196329,547
2,2015,1,196330,603
2,2015,1,196331,785
2,2015,1,196332,10
2,2015,1,196334,170
2,2015,1,196336,39
2,2015,1,196338,78
2,2015,1,196340,131
2,2015,1,196344,82
2,2015,1,196346,61
2,2015,1,196348,415
2,2015,1,196350,40
2,2015,1,196352,43
2,2015,1,196354,38
2,2015,1,196358,49
2,2015,1,196362,56
2,2015,1,196364,99
2,2015,1,196368,98
2,2015,1,197110,191
2,2015,1,197111,3801
2,2015,1,197113,2361
2,2015,1,197115,1107
2,2015,1,197205,6
2,2015,1,197210,45
2,2015,1,197215,32
2,2015,1,197216,11
2,2015,1,197220,16
2,2015,1,197225,5
2,2015,1,197230,6
2,2015,1,197235,3
2,2015,1,197240,31
2,2015,1,197245,20
2,2015,1,197250,7
2,2015,1,197255,7
2,2015,1,197260,5
2,2015,1,197265,12
2,2015,1,197270,18
2,2015,1,197280,12
2,2015,1,197285,3
2,2015,1,197290,21
2,2015,1,197292,3
2,2015,1,197295,9
2,2015,1,197297,10
2,2015,1,197298,10
2,2015,1,197404,6
2,2015,1,197408,4
2,2015,1,197409,1
2,2015,1,197419,14
2,2015,1,197420,49
2,2015,1,197421,20
2,2015,1,197431,51
2,2015,1,197451,30
2,2015,1,197452,20
2,2015,1,197453,18
2,2015,1,197463,9
2,2015,1,197464,26
2,2015,1,197475,51
2,2015,1,197476,30
2,2015,1,197477,11
2,2015,1,197494,2
2,2015,1,197495,1
2,2015,1,197496,1
2,2015,1,197497,1
2,2015,1,197498,2
2,2015,1,197511,2718
2,2015,1,197512,1465
2,2015,1,197513,2567
2,2015,1,197514,2122
2,2015,1,197515,1189
2,2015,1,197517,1673
2,2015,1,197519,1078
2,2015,1,197541,6
2,2015,1,197701,30
2,2015,1,197702,9
2,2015,1,197703,6
2,2015,1,197704,16
2,2015,1,197705,14
2,2015,1,197706,7
2,2015,1,197708,1
2,2015,1,197712,1
2,2015,1,197717,2
2,2015,1,197724,3
2,2015,1,197729,5
2,2015,1,197730,9
2,2015,1,197731,2
2,2015,1,197732,1
2,2015,1,197733,7
2,2015,1,197737,2
2,2015,1,197739,1
2,2015,1,197740,3
2,2015,1,197741,1
2,2015,1,197744,3
2,2015,1,197745,3
2,2015,1,197746,3
2,2015,1,197748,2
2,2015,1,197749,1
2,2015,1,197750,3
2,2015,1,197751,3
2,2015,1,197753,2
2,2015,1,197801,61
2,2015,1,197802,3
2,2015,1,197803,4
2,2015,1,197804,1
2,2015,1,197805,2
2,2015,1,197806,1
2,2015,1,197811,1
2,2015,1,197812,17
2,2015,1,197813,6
2,2015,1,197814,6
2,2015,1,197815,13
2,2015,1,197816,1
2,2015,1,197817,2
2,2015,1,197818,2
2,2015,1,197819,3
2,2015,1,197820,2
2,2015,1,197822,1
2,2015,1,197823,13
