d_month,d_year,d_row,d_organ,d_sum
5,2015,1,"19",178872.000
5,2015,1,"1911",6802.000
5,2015,1,"191110",2649.000
5,2015,1,"191118",743.000
5,2015,1,"191132",178.000
5,2015,1,"191134",186.000
5,2015,1,"191136",133.000
5,2015,1,"191138",355.000
5,2015,1,"191140",142.000
5,2015,1,"191144",34.000
5,2015,1,"191145",88.000
5,2015,1,"191146",179.000
5,2015,1,"191148",185.000
5,2015,1,"191152",115.000
5,2015,1,"191154",104.000
5,2015,1,"191156",169.000
5,2015,1,"191160",39.000
5,2015,1,"191164",110.000
5,2015,1,"191166",590.000
5,2015,1,"191168",137.000
5,2015,1,"191170",666.000
5,2015,1,"1915",8325.000
5,2015,1,"191510",6614.000
5,2015,1,"191532",145.000
5,2015,1,"191534",99.000
5,2015,1,"191536",52.000
5,2015,1,"191540",140.000
5,2015,1,"191542",105.000
5,2015,1,"191546",124.000
5,2015,1,"191548",296.000
5,2015,1,"191552",41.000
5,2015,1,"191556",160.000
5,2015,1,"191560",299.000
5,2015,1,"191564",199.000
5,2015,1,"191568",51.000
5,2015,1,"1919",13212.000
5,2015,1,"191910",2184.000
5,2015,1,"191916",705.000
5,2015,1,"191926",182.000
5,2015,1,"191932",208.000
5,2015,1,"191934",225.000
5,2015,1,"191936",127.000
5,2015,1,"191940",1230.000
5,2015,1,"191942",486.000
5,2015,1,"191946",225.000
5,2015,1,"191948",205.000
5,2015,1,"191950",243.000
5,2015,1,"191952",2042.000
5,2015,1,"191956",468.000
5,2015,1,"191958",154.000
5,2015,1,"191960",173.000
5,2015,1,"191962",1716.000
5,2015,1,"191964",214.000
5,2015,1,"191966",176.000
5,2015,1,"191968",2249.000
5,2015,1,"1923",4752.000
5,2015,1,"192310",3677.000
5,2015,1,"192336",398.000
5,2015,1,"192340",82.000
5,2015,1,"192342",120.000
5,2015,1,"192346",211.000
5,2015,1,"192348",61.000
5,2015,1,"192352",116.000
5,2015,1,"192356",87.000
5,2015,1,"1927",5795.000
5,2015,1,"192710",3898.000
5,2015,1,"192732",233.000
5,2015,1,"192736",387.000
5,2015,1,"192740",108.000
5,2015,1,"192742",90.000
5,2015,1,"192744",355.000
5,2015,1,"192748",133.000
5,2015,1,"192750",66.000
5,2015,1,"192754",104.000
5,2015,1,"192758",94.000
5,2015,1,"192760",70.000
5,2015,1,"192762",183.000
5,2015,1,"192766",74.000
5,2015,1,"1931",8773.000
5,2015,1,"193110",2315.000
5,2015,1,"193111",1831.000
5,2015,1,"193112",1068.000
5,2015,1,"193136",299.000
5,2015,1,"193140",378.000
5,2015,1,"193142",227.000
5,2015,1,"193148",848.000
5,2015,1,"193150",314.000
5,2015,1,"193154",531.000
5,2015,1,"193156",107.000
5,2015,1,"193160",142.000
5,2015,1,"193162",149.000
5,2015,1,"193166",548.000
5,2015,1,"193167",16.000
5,2015,1,"1935",14634.000
5,2015,1,"193510",690.000
5,2015,1,"193511",4317.000
5,2015,1,"193516",537.000
5,2015,1,"193518",915.000
5,2015,1,"193520",85.000
5,2015,1,"193521",52.000
5,2015,1,"193522",351.000
5,2015,1,"193523",816.000
5,2015,1,"193524",2461.000
5,2015,1,"193528",608.000
5,2015,1,"193532",535.000
5,2015,1,"193536",83.000
5,2015,1,"193540",293.000
5,2015,1,"193544",99.000
5,2015,1,"193548",121.000
5,2015,1,"193552",174.000
5,2015,1,"193556",232.000
5,2015,1,"193560",58.000
5,2015,1,"193564",84.000
5,2015,1,"193570",2123.000
5,2015,1,"1939",12500.000
5,2015,1,"193910",2046.000
5,2015,1,"193911",2142.000
5,2015,1,"193912",1661.000
5,2015,1,"193916",389.000
5,2015,1,"193920",356.000
5,2015,1,"193924",2026.000
5,2015,1,"193932",102.000
5,2015,1,"193934",48.000
5,2015,1,"193936",284.000
5,2015,1,"193940",219.000
5,2015,1,"193942",31.000
5,2015,1,"193944",585.000
5,2015,1,"193948",98.000
5,2015,1,"193950",315.000
5,2015,1,"193952",231.000
5,2015,1,"193954",921.000
5,2015,1,"193956",216.000
5,2015,1,"193958",69.000
5,2015,1,"193962",198.000
5,2015,1,"193964",206.000
5,2015,1,"193966",164.000
5,2015,1,"193968",193.000
5,2015,1,"1943",5868.000
5,2015,1,"194310",3981.000
5,2015,1,"194319",2.000
5,2015,1,"194332",247.000
5,2015,1,"194336",176.000
5,2015,1,"194340",351.000
5,2015,1,"194344",342.000
5,2015,1,"194346",224.000
5,2015,1,"194348",200.000
5,2015,1,"194352",345.000
5,2015,1,"1947",3689.000
5,2015,1,"194710",1901.000
5,2015,1,"194718",807.000
5,2015,1,"194736",195.000
5,2015,1,"194742",115.000
5,2015,1,"194746",91.000
5,2015,1,"194750",400.000
5,2015,1,"194752",180.000
5,2015,1,"1951",16115.000
5,2015,1,"195110",2272.000
5,2015,1,"195111",3029.000
5,2015,1,"195112",3502.000
5,2015,1,"195113",1133.000
5,2015,1,"195116",226.000
5,2015,1,"195120",333.000
5,2015,1,"195126",1129.000
5,2015,1,"195132",1.000
5,2015,1,"195136",128.000
5,2015,1,"195140",218.000
5,2015,1,"195144",864.000
5,2015,1,"195146",347.000
5,2015,1,"195148",183.000
5,2015,1,"195152",651.000
5,2015,1,"195154",1103.000
5,2015,1,"195156",131.000
5,2015,1,"195158",345.000
5,2015,1,"195160",308.000
5,2015,1,"195164",212.000
5,2015,1,"1955",8299.000
5,2015,1,"195510",3019.000
5,2015,1,"195511",1968.000
5,2015,1,"195516",576.000
5,2015,1,"195522",1577.000
5,2015,1,"195532",68.000
5,2015,1,"195536",113.000
5,2015,1,"195542",106.000
5,2015,1,"195546",129.000
5,2015,1,"195548",130.000
5,2015,1,"195552",103.000
5,2015,1,"195556",55.000
5,2015,1,"195560",162.000
5,2015,1,"195564",94.000
