d_month,d_year,d_row,d_organ,d_sum
12,2015,1,19,116523
12,2015,2,19,56279
12,2015,3,19,860
12,2015,4,19,441
12,2015,5,19,4423
12,2015,8,19,0
12,2015,6,19,734
12,2015,7,19,452
12,2015,9,19,91513
12,2016,1,19,188854
12,2016,2,19,101019
12,2016,3,19,1012
12,2016,4,19,641
12,2016,5,19,74489
12,2016,8,19,7631
12,2016,6,19,13976
12,2016,7,19,12554
12,2016,9,19,102302
12,2017,1,19,161126
12,2017,2,19,81659
12,2017,3,19,900
12,2017,4,19,607
12,2017,5,19,59364
12,2017,8,19,10739
12,2017,6,19,10958
12,2017,7,19,11337
12,2017,9,19,90186
12,2018,1,19,177643
12,2018,2,19,104942
12,2018,3,19,785
12,2018,4,19,444
12,2018,5,19,72573
12,2018,8,19,16413
12,2018,6,19,14710
12,2018,7,19,10383
12,2018,9,19,104308
12,2019,1,19,224785
12,2019,2,19,136447
12,2019,3,19,767
12,2019,4,19,461
12,2019,5,19,93175
12,2019,8,19,4644
12,2019,6,19,22576
12,2019,7,19,12613
12,2019,9,19,117363
12,2020,1,19,49982
12,2020,2,19,19938
12,2020,3,19,291
12,2020,4,19,147
12,2020,5,19,7073
12,2020,8,19,2438
12,2020,6,19,6948
12,2020,7,19,5505
12,2020,9,19,34796
