d_month,d_year,d_row,d_organ,d_sum
12,2016,1,19,188854
12,2016,1,1971,9544
12,2016,1,1975,18120
12,2016,1,1911,11003
12,2016,1,1915,11821
12,2016,1,1919,15285
12,2016,1,1923,7831
12,2016,1,1963,14997
12,2016,1,1931,9986
12,2016,1,1927,8171
12,2016,1,1935,15692
12,2016,1,1939,13845
12,2016,1,1943,8068
12,2016,1,1947,6211
12,2016,1,1955,10255
12,2016,1,1959,9366
12,2016,1,1951,14585
12,2016,1,1970,2943
12,2016,1,1972,1131
12,2016,2,19,101019
12,2016,2,1971,6202
12,2016,2,1975,11791
12,2016,2,1911,5166
12,2016,2,1915,6625
12,2016,2,1919,6932
12,2016,2,1923,4119
12,2016,2,1963,7535
12,2016,2,1931,4865
12,2016,2,1927,3279
12,2016,2,1935,8867
12,2016,2,1939,7411
12,2016,2,1943,4388
12,2016,2,1947,3766
12,2016,2,1955,5009
12,2016,2,1959,4701
12,2016,2,1951,7306
12,2016,2,1970,2804
12,2016,2,1972,253
12,2016,3,19,1012
12,2016,3,1971,45
12,2016,3,1975,122
12,2016,3,1911,51
12,2016,3,1915,76
12,2016,3,1919,34
12,2016,3,1923,18
12,2016,3,1963,122
12,2016,3,1931,30
12,2016,3,1927,83
12,2016,3,1935,62
12,2016,3,1939,35
12,2016,3,1943,54
12,2016,3,1947,33
12,2016,3,1955,47
12,2016,3,1959,104
12,2016,3,1951,62
12,2016,3,1970,28
12,2016,3,1972,6
12,2016,4,19,641
12,2016,4,1971,32
12,2016,4,1975,98
12,2016,4,1911,37
12,2016,4,1915,51
12,2016,4,1919,21
12,2016,4,1923,11
12,2016,4,1963,69
12,2016,4,1931,19
12,2016,4,1927,36
12,2016,4,1935,43
12,2016,4,1939,19
12,2016,4,1943,31
12,2016,4,1947,19
12,2016,4,1955,30
12,2016,4,1959,60
12,2016,4,1951,36
12,2016,4,1970,28
12,2016,4,1972,1
12,2016,5,19,13976
12,2016,5,1971,773
12,2016,5,1975,2170
12,2016,5,1911,816
12,2016,5,1915,889
12,2016,5,1919,901
12,2016,5,1923,667
12,2016,5,1963,724
12,2016,5,1931,522
12,2016,5,1927,427
12,2016,5,1935,824
12,2016,5,1939,1113
12,2016,5,1943,482
12,2016,5,1947,484
12,2016,5,1955,452
12,2016,5,1959,937
12,2016,5,1951,1060
12,2016,5,1970,681
12,2016,5,1972,54
12,2016,6,19,74489
12,2016,6,1971,4731
12,2016,6,1975,8090
12,2016,6,1911,3939
12,2016,6,1915,4666
12,2016,6,1919,5468
12,2016,6,1923,2710
12,2016,6,1963,6066
12,2016,6,1931,4047
12,2016,6,1927,2380
12,2016,6,1935,6684
12,2016,6,1939,5577
12,2016,6,1943,3341
12,2016,6,1947,2779
12,2016,6,1955,4009
12,2016,6,1959,3433
12,2016,6,1951,5760
12,2016,6,1970,612
12,2016,6,1972,197
