d_month,d_year,d_row,d_organ,d_sum
12,2015,1,191110,4600.000
12,2015,1,191118,1375.000
12,2015,1,191132,377.000
12,2015,1,191134,395.000
12,2015,1,191136,296.000
12,2015,1,191138,800.000
12,2015,1,191140,348.000
12,2015,1,191144,87.000
12,2015,1,191145,197.000
12,2015,1,191146,370.000
12,2015,1,191148,450.000
12,2015,1,191152,266.000
12,2015,1,191154,240.000
12,2015,1,191156,382.000
12,2015,1,191160,94.000
12,2015,1,191164,237.000
12,2015,1,191166,1486.000
12,2015,1,191168,333.000
12,2015,1,191170,1438.000
12,2015,1,191510,14199.000
12,2015,1,191532,339.000
12,2015,1,191534,221.000
12,2015,1,191536,139.000
12,2015,1,191540,330.000
12,2015,1,191542,237.000
12,2015,1,191546,296.000
12,2015,1,191548,659.000
12,2015,1,191552,102.000
12,2015,1,191556,316.000
12,2015,1,191560,698.000
12,2015,1,191564,383.000
12,2015,1,191568,121.000
12,2015,1,191910,4148.000
12,2015,1,191916,1522.000
12,2015,1,191926,422.000
12,2015,1,191932,377.000
12,2015,1,191934,453.000
12,2015,1,191936,287.000
12,2015,1,191940,2710.000
12,2015,1,191942,1098.000
12,2015,1,191946,475.000
12,2015,1,191948,390.000
12,2015,1,191950,505.000
12,2015,1,191952,4012.000
12,2015,1,191956,829.000
12,2015,1,191957,2.000
12,2015,1,191958,351.000
12,2015,1,191960,416.000
12,2015,1,191962,3535.000
12,2015,1,191964,473.000
12,2015,1,191966,482.000
12,2015,1,191968,4704.000
12,2015,1,192310,8155.000
12,2015,1,192336,960.000
12,2015,1,192340,155.000
12,2015,1,192342,259.000
12,2015,1,192346,410.000
12,2015,1,192348,155.000
12,2015,1,192352,224.000
12,2015,1,192356,225.000
12,2015,1,192710,8804.000
12,2015,1,192732,541.000
12,2015,1,192736,869.000
12,2015,1,192740,232.000
12,2015,1,192742,233.000
12,2015,1,192744,888.000
12,2015,1,192748,349.000
12,2015,1,192750,180.000
12,2015,1,192754,221.000
12,2015,1,192758,244.000
12,2015,1,192760,192.000
12,2015,1,192762,490.000
12,2015,1,192766,193.000
12,2015,1,193110,4527.000
12,2015,1,193111,3559.000
12,2015,1,193112,2324.000
12,2015,1,193136,603.000
12,2015,1,193140,762.000
12,2015,1,193142,446.000
12,2015,1,193148,1655.000
12,2015,1,193150,606.000
12,2015,1,193154,888.000
12,2015,1,193156,216.000
12,2015,1,193160,270.000
12,2015,1,193162,442.000
12,2015,1,193166,1485.000
12,2015,1,193167,14.000
12,2015,1,193510,1725.000
12,2015,1,193511,8006.000
12,2015,1,193516,1049.000
12,2015,1,193518,2129.000
12,2015,1,193520,186.000
12,2015,1,193521,89.000
12,2015,1,193522,744.000
12,2015,1,193523,1597.000
12,2015,1,193524,5368.000
12,2015,1,193528,1166.000
12,2015,1,193532,969.000
12,2015,1,193536,126.000
12,2015,1,193540,654.000
12,2015,1,193544,228.000
12,2015,1,193548,255.000
12,2015,1,193552,421.000
12,2015,1,193556,466.000
12,2015,1,193560,136.000
12,2015,1,193564,220.000
12,2015,1,193570,4767.000
12,2015,1,193910,3600.000
12,2015,1,193911,3828.000
12,2015,1,193912,3045.000
12,2015,1,193916,608.000
12,2015,1,193920,818.000
12,2015,1,193924,4064.000
12,2015,1,193932,256.000
12,2015,1,193934,63.000
12,2015,1,193936,610.000
12,2015,1,193940,431.000
12,2015,1,193942,57.000
12,2015,1,193944,1103.000
12,2015,1,193948,181.000
12,2015,1,193950,592.000
12,2015,1,193952,537.000
12,2015,1,193954,1642.000
12,2015,1,193956,440.000
12,2015,1,193958,157.000
12,2015,1,193962,408.000
12,2015,1,193964,450.000
12,2015,1,193966,326.000
12,2015,1,193968,354.000
12,2015,1,194310,8108.000
12,2015,1,194319,7.000
12,2015,1,194332,490.000
12,2015,1,194336,353.000
12,2015,1,194340,583.000
12,2015,1,194344,737.000
12,2015,1,194346,391.000
12,2015,1,194348,389.000
12,2015,1,194352,570.000
12,2015,1,194710,3684.000
12,2015,1,194718,1671.000
12,2015,1,194736,337.000
12,2015,1,194742,270.000
12,2015,1,194746,193.000
12,2015,1,194750,848.000
12,2015,1,194752,214.000
12,2015,1,195110,5063.000
12,2015,1,195111,7150.000
12,2015,1,195112,8365.000
12,2015,1,195113,2754.000
12,2015,1,195116,568.000
12,2015,1,195120,705.000
12,2015,1,195126,2625.000
12,2015,1,195132,2.000
12,2015,1,195136,289.000
12,2015,1,195140,414.000
12,2015,1,195144,1790.000
12,2015,1,195146,734.000
12,2015,1,195148,271.000
12,2015,1,195152,1454.000
12,2015,1,195154,2189.000
12,2015,1,195156,248.000
12,2015,1,195158,660.000
12,2015,1,195160,632.000
12,2015,1,195164,389.000
12,2015,1,195510,5785.000
12,2015,1,195511,3804.000
12,2015,1,195512,760.000
12,2015,1,195513,793.000
12,2015,1,195516,1038.000
12,2015,1,195522,2849.000
12,2015,1,195532,126.000
12,2015,1,195536,247.000
12,2015,1,195542,257.000
12,2015,1,195546,289.000
12,2015,1,195548,298.000
12,2015,1,195552,279.000
12,2015,1,195556,147.000
12,2015,1,195560,336.000
12,2015,1,195564,226.000
12,2015,1,195568,484.000
12,2015,1,195910,3097.000
12,2015,1,195911,1513.000
12,2015,1,195912,1689.000
12,2015,1,195932,340.000
12,2015,1,195934,231.000
12,2015,1,195936,482.000
12,2015,1,195942,268.000
12,2015,1,195946,217.000
12,2015,1,195950,571.000
12,2015,1,195952,283.000
12,2015,1,195956,257.000
12,2015,1,195958,280.000
12,2015,1,195960,514.000
12,2015,1,195962,213.000
12,2015,1,195964,207.000
12,2015,1,195966,475.000
12,2015,1,196310,4513.000
12,2015,1,196311,4595.000
12,2015,1,196312,1056.000
12,2015,1,196318,1.000
12,2015,1,196320,6.000
12,2015,1,196322,126.000
12,2015,1,196324,1319.000
12,2015,1,196328,1778.000
12,2015,1,196329,2334.000
12,2015,1,196330,1986.000
12,2015,1,196331,2785.000
12,2015,1,196332,93.000
12,2015,1,196334,653.000
12,2015,1,196336,223.000
12,2015,1,196338,365.000
12,2015,1,196340,793.000
12,2015,1,196344,406.000
12,2015,1,196346,326.000
12,2015,1,196348,1643.000
12,2015,1,196350,237.000
12,2015,1,196352,247.000
12,2015,1,196354,189.000
12,2015,1,196358,255.000
12,2015,1,196362,336.000
12,2015,1,196364,367.000
12,2015,1,196368,605.000
12,2015,1,197110,2605.000
12,2015,1,197111,20971.000
12,2015,1,197113,14000.000
12,2015,1,197115,5865.000
12,2015,1,197205,14.000
12,2015,1,197210,74.000
12,2015,1,197215,63.000
12,2015,1,197216,23.000
12,2015,1,197220,42.000
12,2015,1,197225,19.000
12,2015,1,197230,16.000
12,2015,1,197235,14.000
12,2015,1,197240,68.000
12,2015,1,197245,48.000
12,2015,1,197250,24.000
12,2015,1,197255,13.000
12,2015,1,197260,7.000
12,2015,1,197265,35.000
12,2015,1,197270,32.000
12,2015,1,197280,36.000
12,2015,1,197285,8.000
12,2015,1,197290,58.000
12,2015,1,197292,18.000
12,2015,1,197295,13.000
12,2015,1,197297,20.000
12,2015,1,197298,12.000
12,2015,1,197402,1.000
12,2015,1,197404,25.000
